1201101000,20,40,60,80
1201101001,10,30,50,70
1201101002,23,45,67,89
1201101003,15,100,72,31
1201101004,20,40,60,80
1201101005,10,30,50,70
1201101006,23,45,67,89
1201101007,15,100,72,31
1201101008,20,40,60,80
1201101009,10,30,50,70
1201101010,23,45,67,89
1201101011,15,100,72,31
1201101012,20,40,60,80
1201101013,10,30,50,70
1201101014,23,45,67,89
1201101015,15,100,72,31
1201101016,20,40,60,80
1201101017,10,30,50,70
1201101018,23,45,67,89
1201101019,15,100,72,31
1201101020,20,40,60,80
1201101021,10,30,50,70
1201101022,23,45,67,89
1201101023,15,100,72,31
1201101024,20,40,60,80
1201101025,10,30,50,70
1201101026,23,45,67,89
1201101027,15,100,72,31
1201101028,20,40,60,80
1201101029,10,30,50,70
1201101000,20,40,60,80
1201101001,10,30,50,70
1201101002,23,45,67,89
1201101003,15,100,72,31
1201101004,20,40,60,80
1201101005,10,30,50,70
1201101006,23,45,67,89
1201101007,15,100,72,31
1201101008,20,40,60,80
1201101009,10,30,50,70
1201101010,23,45,67,89
1201101011,15,100,72,31
1201101012,20,40,60,80
1201101013,10,30,50,70
1201101014,23,45,67,89
1201101015,15,100,72,31
1201101016,20,40,60,80
1201101017,10,30,50,70
1201101018,23,45,67,89
1201101019,15,100,72,31
1201101020,20,40,60,80
1201101021,10,30,50,70
1201101022,23,45,67,89
1201101023,15,100,72,31
1201101024,20,40,60,80
1201101025,10,30,50,70
1201101026,23,45,67,89
1201101027,15,100,72,31
1201101028,20,40,60,80
1201101029,10,30,50,70
1201101000,20,40,60,80
1201101001,10,30,50,70
1201101002,23,45,67,89
1201101003,15,100,72,31
1201101004,20,40,60,80
1201101005,10,30,50,70
1201101006,23,45,67,89
1201101007,15,100,72,31
1201101008,20,40,60,80
1201101009,10,30,50,70
1201101010,23,45,67,89
1201101011,15,100,72,31
1201101012,20,40,60,80
1201101013,10,30,50,70
1201101014,23,45,67,89
1201101015,15,100,72,31
1201101016,20,40,60,80
1201101017,10,30,50,70
1201101018,23,45,67,89
1201101019,15,100,72,31
1201101020,20,40,60,80
1201101021,10,30,50,70
1201101022,23,45,67,89
1201101023,15,100,72,31
1201101024,20,40,60,80
1201101025,10,30,50,70
1201101026,23,45,67,89
1201101027,15,100,72,31
1201101028,20,40,60,80
1201101029,10,30,50,70
1201101020,20,40,60,80
1201101021,10,30,50,70
1201101022,23,45,67,89
1201101023,15,100,72,31
1201101024,20,40,60,80
1201101025,10,30,50,70
1201101026,23,45,67,89
1201101027,15,100,72,31
1201101028,20,40,60,80
1201101029,10,30,50,70

